               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.040279,            0.080539,           0.0081675,             0.61004,             0.90351,             0.77219,             0.42377,            0.040911,            0.045477,            0.015901,           0.0025241,           0.0025241,           0.0025241
                  75,            0.038551,             0.08214,           0.0066025,             0.59791,             0.86705,             0.74364,             0.40708,            0.041243,            0.045826,            0.016971,           0.0024195,           0.0024195,           0.0024195
                  76,            0.037683,            0.074045,           0.0079795,             0.62846,             0.95495,             0.80775,              0.4474,            0.040945,            0.044337,            0.012285,            0.002318,            0.002318,            0.002318
                  77,            0.036805,            0.067071,           0.0081446,             0.64413,             0.96685,             0.83824,             0.46941,            0.040607,            0.044436,            0.010547,           0.0022196,           0.0022196,           0.0022196
                  78,            0.037989,            0.071695,           0.0078889,             0.64068,             0.93086,             0.83149,             0.46132,            0.040601,            0.045625,            0.010693,           0.0021245,           0.0021245,           0.0021245
                  79,            0.037277,            0.067773,           0.0077898,             0.62797,             0.86128,             0.78811,             0.43178,             0.04081,            0.047395,              0.0136,           0.0020327,           0.0020327,           0.0020327
                  80,            0.039238,            0.091709,           0.0084931,             0.59363,             0.91218,              0.7486,             0.41506,            0.040969,            0.046971,            0.017753,           0.0019443,           0.0019443,           0.0019443
                  81,            0.036424,            0.062257,           0.0073386,             0.56282,             0.90045,             0.72502,             0.40306,            0.040839,            0.046239,            0.019922,           0.0018594,           0.0018594,           0.0018594
                  82,            0.038678,            0.087222,           0.0083152,             0.56166,             0.91541,             0.73284,             0.39694,            0.041111,            0.045319,            0.018835,           0.0017781,           0.0017781,           0.0017781
                  83,            0.036892,            0.071091,           0.0079643,             0.62718,             0.90058,             0.79242,             0.43651,            0.040455,            0.045285,            0.014427,           0.0017005,           0.0017005,           0.0017005
                  84,            0.037609,            0.079204,           0.0068644,              0.6282,             0.87869,             0.80461,             0.44627,             0.04056,            0.046502,            0.012797,           0.0016267,           0.0016267,           0.0016267
                  85,            0.036245,            0.074688,           0.0063181,             0.60201,             0.87514,             0.79325,             0.43904,            0.040737,            0.048503,            0.013173,           0.0015566,           0.0015566,           0.0015566
                  86,            0.038793,            0.082991,           0.0067109,              0.5965,             0.86237,             0.79245,             0.43394,            0.040777,            0.049646,            0.013831,           0.0014905,           0.0014905,           0.0014905
                  87,              0.0364,            0.066627,            0.006238,             0.58743,             0.85029,             0.77411,             0.42501,             0.04093,            0.050049,            0.015366,           0.0014283,           0.0014283,           0.0014283
                  88,            0.038329,            0.074674,           0.0085419,             0.60049,             0.85325,             0.76247,              0.4193,            0.040729,            0.047142,            0.015662,           0.0013701,           0.0013701,           0.0013701
                  89,            0.036561,            0.065153,           0.0079098,             0.60078,             0.89045,             0.76928,             0.42546,            0.040445,             0.04588,              0.0156,            0.001316,            0.001316,            0.001316
                  90,            0.036415,            0.069677,           0.0061701,             0.61928,              0.8869,             0.78163,             0.43586,            0.040341,            0.045981,            0.014675,            0.001266,            0.001266,            0.001266
                  91,            0.037909,             0.08116,           0.0082743,               0.647,             0.86943,             0.80888,             0.45194,            0.039946,             0.04561,            0.011556,           0.0012202,           0.0012202,           0.0012202
                  92,            0.038091,            0.078846,           0.0072207,             0.62061,             0.89011,              0.8097,             0.45238,            0.040185,             0.04686,            0.011487,           0.0011787,           0.0011787,           0.0011787
                  93,            0.038622,            0.084928,           0.0081334,             0.60835,             0.88823,             0.78787,             0.44048,            0.040532,            0.047578,            0.013095,           0.0011414,           0.0011414,           0.0011414
                  94,            0.036615,            0.075892,           0.0071102,             0.60017,             0.84088,             0.76046,             0.42373,            0.040805,            0.048853,            0.015927,           0.0011084,           0.0011084,           0.0011084
                  95,            0.036064,            0.071929,           0.0066333,             0.59644,             0.91895,              0.7651,              0.4244,             0.04028,            0.046264,            0.015943,           0.0010797,           0.0010797,           0.0010797
                  96,            0.036283,            0.065967,            0.007349,             0.64733,             0.92531,             0.84149,             0.47795,            0.039611,            0.043605,            0.011195,           0.0010554,           0.0010554,           0.0010554
                  97,            0.038865,            0.089278,           0.0067093,              0.7517,             0.87205,             0.88382,             0.50805,            0.039703,            0.043159,           0.0097033,           0.0010355,           0.0010355,           0.0010355
                  98,            0.038336,            0.077132,           0.0073534,             0.73774,             0.84298,             0.86735,             0.49856,            0.039873,            0.043501,            0.010337,             0.00102,             0.00102,             0.00102
                  99,            0.037693,            0.076218,           0.0073959,             0.68986,             0.86027,             0.84458,             0.48353,            0.039806,            0.044103,            0.011106,           0.0010089,           0.0010089,           0.0010089
